title,pubDate,link,source,timestamp_extract
"Em Irati, secretário estadual de Educação comenta projetos e ouve demandas dos diretores - Hoje Centro Sul","Wed, 23 Oct 2019 13:53:52 GMT",https://hojecentrosul.com.br/default.asp?id=5574,Hoje Centro Sul,1573072613
Startups brasileiras marcam presença no Web Summit 2019 - E-Commerce Brasil,"Wed, 23 Oct 2019 07:00:00 GMT",https://www.ecommercebrasil.com.br/noticias/startups-brasileiras-web-summit-2019/,E-Commerce Brasil,1573072613
Falta de protocolo compromete atendimento aos voluntários intoxicados pelo petróleo cru - Jornal GGN,"Fri, 01 Nov 2019 17:48:00 GMT",https://jornalggn.com.br/noticia/falta-de-protocolo-compromete-atendimento-aos-voluntarios-intoxicados-pelo-petroleo-cru/,Jornal GGN,1573072613
"Manchetes: PSL, Bolsonaro, STF, 2ª instância, petróleo, Previdência - Anexo6","Tue, 15 Oct 2019 07:00:00 GMT",https://anexo6.com/psl-bolsonaro-stf-2a-instancia-petroleo-previdencia/,Anexo6,1573072613
"Novo tablet da Huawei é muito parecido com o iPad Pro, mas com ""buraco"" na tela - Canaltech","Fri, 01 Nov 2019 01:50:00 GMT",https://canaltech.com.br/tablet/novo-tablet-da-huawei-e-muito-parecido-com-o-ipad-pro-mas-com-buraco-na-tela-154117/,Canaltech,1573072613
"Justa, plataforma que monitora o funcionamento do Judiciário, será lançada hoje - Jornal GGN","Tue, 11 Jun 2019 07:00:00 GMT",https://jornalggn.com.br/entenda/justa-plataforma-que-monitora-o-funcionamento-do-judiciario-sera-lancada-hoje/,Jornal GGN,1573072613
Show A comediante Ellen DeGeneres receberá Globo de Ouro pelo conjunto da obra na TV 04 - O Popular,"Mon, 04 Nov 2019 20:46:00 GMT",https://www.opopular.com.br/noticias/magazine/a-comediante-ellen-degeneres-receber%C3%A1-globo-de-ouro-pelo-conjunto-da-obra-na-tv-1.1924706,O Popular,1573072613
Donos de produtora pornô são presos por tráfico sexual e abuso de mulheres - Canaltech,"Sat, 26 Oct 2019 07:00:00 GMT",https://canaltech.com.br/internet/donos-de-produtora-porno-sao-presos-por-trafico-sexual-e-abuso-de-mulheres-153575/,Canaltech,1573072613
Governo inicia seleção para projeto Mais Estudo de monitoria em escolas estaduais - Bahia Noticias - Samuel Celestino,"Thu, 05 Sep 2019 07:00:00 GMT",https://www.bahianoticias.com.br/noticia/239353-governo-inicia-selecao-para-projeto-mais-estudo-de-monitoria-em-escolas-estaduais.html,Bahia Noticias - Samuel Celestino,1573072613
Os 5 assuntos que vão movimentar o mercado nesta segunda-feira - InfoMoney,"Mon, 21 Oct 2019 07:00:00 GMT",https://www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-segunda-feira-211019/,InfoMoney,1573072613
Bolsonaro sanciona lei que muda coleta de dados do Cadastro Positivo - Olhar Digital,"Mon, 08 Apr 2019 07:00:00 GMT",https://olhardigital.com.br/noticia/cadastro-positivo-bolsonaro-lei-banco-de-dados-bons-pagadores/84499,Olhar Digital,1573072613
Homologação de acordo para uso sustentável de recursos da Bacia Formoso extingue processo judicial - Jornal do Tocantins,"Thu, 24 Oct 2019 07:00:00 GMT",https://www.jornaldotocantins.com.br/editorias/vida-urbana/homologa%C3%A7%C3%A3o-de-acordo-para-uso-sustent%C3%A1vel-de-recursos-da-bacia-formoso-extingue-processo-judicial-1.1916346,Jornal do Tocantins,1573072613
"Inpe deve antecipar dados sobre desmatamento ao governo, diz novo diretor - VEJA.com","Tue, 06 Aug 2019 07:00:00 GMT",https://veja.abril.com.br/politica/inpe-deve-antecipar-dados-sobre-desmatamento-ao-governo-diz-novo-diretor/,VEJA.com,1573072613
"A polêmica que derrubou o diretor do Inpe, órgão que monitora desmatamento na Amazônia - UOL","Fri, 02 Aug 2019 07:00:00 GMT",https://noticias.uol.com.br/ultimas-noticias/bbc/2019/08/02/a-polemica-que-derrubou-diretor-do-inpe-orgao-que-monitora-desmatamento-na-amazonia.htm,UOL,1573072613
Plataforma monitora funcionamento do Judiciário brasileiro - UOL,"Fri, 14 Jun 2019 07:00:00 GMT",https://noticias.uol.com.br/ultimas-noticias/deutschewelle/2019/06/14/plataforma-monitora-funcionamento-do-judiciario-brasileiro.htm,UOL,1573072613
